iter	RMSE
0	3889.533143
1	3788.105476
2	3688.972098
3	3593.811393
4	3504.445619
5	3413.952369
6	3327.919067
7	3243.854341
8	3162.502185
9	3084.143087
10	3006.910157
11	2934.226482
12	2862.639113
13	2794.274808
14	2728.069346
15	2662.121389
16	2601.478129
17	2539.160269
18	2478.119396
19	2421.499612
20	2367.56674
21	2315.012451
22	2262.2475
23	2211.006403
24	2162.357767
25	2115.026147
26	2069.361513
27	2026.127463
28	1982.458067
29	1941.277002
30	1902.115054
31	1862.996153
32	1824.599251
33	1788.754721
34	1754.606591
35	1721.500549
36	1689.928072
37	1660.11507
38	1630.028483
39	1601.380561
40	1573.095058
41	1545.951231
42	1518.987509
43	1493.077265
44	1468.91382
45	1444.714562
46	1421.193261
47	1399.121417
48	1377.643791
49	1355.521543
50	1336.899419
51	1316.767382
52	1298.048082
53	1280.536586
54	1262.63988
55	1245.858103
56	1229.577343
57	1213.124257
58	1197.887477
59	1183.285176
60	1169.106429
61	1154.476382
62	1141.524875
63	1129.114111
64	1116.112823
65	1102.876494
66	1090.292835
67	1078.516455
68	1066.806946
69	1056.759741
70	1046.238089
71	1035.302651
72	1025.029556
73	1014.349304
74	1004.143529
75	994.1179262
76	984.4477669
77	976.1462184
78	967.748115
79	958.6738753
80	949.803609
81	942.7408342
82	934.3586301
83	927.1563042
84	919.8718077
85	913.0919215
86	906.9373189
87	901.1155418
88	895.5502439
89	888.8203102
90	883.1445799
91	877.9988212
92	872.0886393
93	865.7756663
94	859.5706625
95	853.6313157
96	848.4712141
97	843.7075248
98	838.7015862
99	834.608509
100	830.5196778
101	825.5292297
102	820.7434443
103	816.8413165
104	811.9380708
105	808.5221078
106	805.2525179
107	801.2949558
108	798.0066051
109	794.2914657
110	791.2264793
111	787.9547039
112	785.0941377
113	781.7954926
114	778.8824498
115	775.0853964
116	772.2342508
117	768.8273158
118	765.520991
119	761.8704626
120	759.3588921
121	756.2550454
122	753.3170722
123	751.1898815
124	748.8058278
125	746.7044632
126	744.2469654
127	742.0787306
128	739.8158558
129	737.9519937
130	734.8597393
131	732.4619742
132	730.6203586
133	728.8141022
134	727.0930877
135	725.0440874
136	722.7115055
137	720.9270909
138	718.7963752
139	717.2729167
140	714.9102029
141	713.4051665
142	711.1348972
143	708.6823823
144	707.1136213
145	704.8066643
146	703.5409189
147	702.0285575
148	699.9874081
149	698.2302638
150	696.7949666
151	695.4252766
152	693.8031968
153	692.6944997
154	691.2315662
155	689.9229182
156	689.1593032
157	688.0827476
158	686.8582889
159	685.2187169
160	683.648241
161	682.2741417
162	680.6644772
163	679.0881694
164	678.1659902
165	677.4476908
166	676.3893352
167	674.8286171
168	673.286999
169	672.1545808
170	671.1314812
171	670.1048461
172	669.0589921
173	667.229619
174	666.3454259
175	665.4239464
176	664.5358246
177	662.9529555
178	661.7053471
179	660.7197633
180	659.2261083
181	658.5765132
182	657.6331199
183	656.6553381
184	655.782874
185	654.8240935
186	653.9976097
187	653.1507675
188	652.4095806
189	651.8228546
190	651.1062618
191	650.1923389
192	648.9357065
193	648.2365267
