iter	Passed	Remaining
0	16	24620
1	21	16405
2	30	15007
3	35	13199
4	40	12152
5	47	11743
6	52	11193
7	57	10796
8	64	10634
9	69	10332
10	74	10122
11	82	10267
12	87	10053
13	93	9902
14	99	9873
15	105	9782
16	112	9782
17	121	9999
18	128	10001
19	133	9899
20	138	9786
21	145	9770
22	150	9690
23	156	9605
24	162	9607
25	168	9555
26	174	9531
27	181	9555
28	189	9591
29	194	9552
30	202	9575
31	207	9498
32	212	9445
33	218	9436
34	223	9372
35	229	9339
36	235	9302
37	240	9266
38	245	9212
39	251	9175
40	257	9152
41	262	9116
42	269	9128
43	275	9107
44	280	9069
45	287	9098
46	293	9061
47	299	9052
48	304	9024
49	309	8982
50	315	8951
51	320	8923
52	325	8887
53	330	8851
54	336	8853
55	342	8829
56	347	8803
57	353	8791
58	359	8781
59	365	8760
60	371	8758
61	376	8734
62	382	8718
63	389	8746
64	395	8732
65	401	8718
66	408	8726
67	415	8751
68	430	8923
69	443	9052
70	450	9074
71	465	9241
72	472	9228
73	477	9196
74	482	9168
75	489	9164
76	494	9137
77	499	9106
78	505	9092
79	510	9067
80	516	9043
81	522	9042
82	528	9019
83	533	8999
84	542	9037
85	548	9010
86	553	8984
87	559	8974
88	564	8953
89	574	8993
90	582	9026
91	590	9039
92	596	9021
93	601	9001
94	608	8992
95	614	8984
96	619	8961
97	626	8956
98	631	8933
99	636	8906
100	643	8918
101	649	8900
102	655	8896
103	661	8881
104	667	8866
105	673	8856
106	679	8841
107	684	8817
108	690	8811
109	696	8798
110	701	8778
111	706	8758
112	713	8752
113	718	8735
114	723	8715
115	729	8707
116	735	8692
117	740	8669
118	746	8660
119	752	8649
120	757	8632
121	764	8629
122	771	8637
123	777	8632
124	783	8617
125	788	8597
126	794	8592
127	800	8577
128	805	8560
129	812	8563
130	821	8587
131	831	8618
132	837	8602
133	842	8584
134	848	8575
135	853	8556
136	858	8538
137	864	8531
138	870	8519
139	875	8503
140	882	8503
141	887	8490
142	893	8475
143	899	8469
144	904	8449
145	909	8436
146	916	8434
147	922	8424
148	932	8452
149	939	8454
150	946	8458
151	952	8451
152	958	8436
153	963	8419
154	968	8407
155	974	8393
156	979	8379
157	985	8373
158	991	8362
159	996	8347
160	1002	8341
161	1008	8328
162	1013	8312
163	1019	8305
164	1024	8292
165	1031	8287
166	1036	8274
167	1044	8282
168	1051	8280
169	1061	8304
170	1067	8296
171	1072	8282
172	1077	8267
173	1083	8253
174	1088	8242
175	1093	8229
176	1101	8235
177	1106	8220
178	1113	8218
179	1119	8207
180	1124	8193
181	1129	8181
182	1135	8175
183	1141	8163
184	1146	8148
185	1152	8139
186	1159	8138
187	1168	8158
188	1176	8163
189	1182	8150
190	1187	8140
191	1196	8148
192	1201	8136
193	1207	8129
194	1212	8114
195	1217	8101
196	1225	8102
197	1230	8093
198	1235	8079
199	1241	8070
200	1247	8061
201	1253	8055
202	1259	8045
203	1266	8043
204	1273	8042
205	1279	8038
206	1284	8025
207	1291	8022
208	1296	8009
209	1301	7996
210	1307	7987
211	1312	7973
212	1317	7959
213	1322	7948
214	1331	7955
215	1338	7958
216	1347	7968
217	1352	7954
218	1358	7946
219	1366	7948
220	1371	7937
221	1377	7929
222	1382	7918
223	1388	7907
224	1394	7901
225	1399	7888
226	1404	7877
227	1411	7875
228	1416	7864
229	1422	7854
230	1430	7857
231	1436	7853
232	1442	7842
233	1447	7830
234	1453	7823
235	1460	7822
236	1465	7810
237	1470	7799
238	1476	7788
239	1481	7779
240	1486	7766
241	1492	7756
242	1498	7749
243	1503	7737
244	1508	7727
245	1514	7722
246	1520	7712
247	1525	7700
248	1531	7692
249	1536	7681
250	1541	7669
251	1547	7666
252	1553	7656
253	1560	7653
254	1567	7652
255	1572	7642
256	1578	7635
257	1584	7625
258	1590	7620
259	1598	7622
260	1603	7613
261	1609	7605
262	1615	7599
263	1621	7589
264	1629	7592
265	1634	7581
266	1639	7571
267	1644	7560
268	1650	7552
269	1656	7548
270	1663	7544
271	1669	7538
272	1675	7530
273	1681	7522
274	1686	7513
275	1691	7503
276	1697	7496
277	1704	7490
278	1709	7481
279	1715	7475
280	1720	7465
281	1726	7455
282	1732	7449
283	1737	7440
284	1743	7432
285	1748	7423
286	1754	7417
287	1760	7408
288	1766	7403
289	1771	7393
290	1778	7390
291	1784	7383
292	1790	7377
293	1795	7367
294	1802	7363
295	1808	7354
296	1813	7344
297	1819	7338
298	1825	7332
299	1833	7333
300	1838	7323
301	1843	7312
302	1848	7303
303	1854	7297
304	1859	7287
305	1865	7278
306	1871	7274
307	1878	7268
308	1883	7261
309	1888	7250
310	1893	7239
311	1898	7230
312	1904	7223
313	1910	7215
314	1915	7207
315	1922	7204
316	1928	7196
317	1933	7187
318	1940	7183
319	1945	7175
320	1950	7165
321	1961	7174
322	1966	7167
323	1974	7166
324	1979	7157
325	1986	7154
326	1991	7143
327	1996	7134
328	2002	7127
329	2007	7118
330	2013	7110
331	2019	7106
